"Employee ID","Year","Title","AY Salary","HR Department","Age","Ethnicity","Marital Status","Religious Preference","Sex","Country of Citizenship"
1217,2017,"Executive Director",127828,NA,36,"White","Unknown",NA,"Male",NA
1217,2017,"Executive Director",127828,"Department 11",66,"White","Married",NA,"Male","United States"
1678,2017,"Chair",127680,"Department 12",64,"White","Married",NA,"Female","United States"
751,2017,"Professor",127594,NA,66,"American Indian/Alaska Native","Divorced","No Preference Indicated","Male","United States"
3256,2017,"Regents' Professor",127524,NA,71,"White","Married",NA,"Male","United States"
2670,2017,"Chair",125317,"Department 13",56,"White","Married",NA,"Male","United States"
401,2017,"Professor",124094,"Department 14",66,"White","Married",NA,"Male","United States"
2225,2017,"Professor",123712,NA,74,"White","Unknown",NA,"Male",NA
3005,2017,"Professor",122669,"Department 8",64,"Not Specified","Married",NA,"Female","United States"
560,2017,"Professor",122669,"Department 8",61,"White","Married",NA,"Male","United States"
1050,2017,"Professor",122431,NA,68,"White","Married",NA,"Male","United States"
2496,2017,"Professor",122346,"Department 15",74,"White","Married",NA,"Male","United States"
2958,2017,"Professor",121500,NA,70,"White","Married",NA,"Male","United States"
3196,2017,"Professor",121146,NA,70,"White","Single",NA,"Female","United States"
383,2017,"Chair",121079,"Department 16",65,"White","Divorced",NA,"Female","United States"
1752,2017,"Chair",120000,NA,75,"Asian","Married",NA,"Male","United States"
815,2017,"Associate Professor",120000,NA,50,"Asian","Married",NA,"Male","United States"
61,2017,"Chair",119941,"Department 17",61,"White","Married",NA,"Female","United States"
2469,2017,"Er/Rr Cowden Prof, Regents Prf",119209,"Department 6",69,"White","Married",NA,"Male","United States"
324,2017,"Principal Lecturer",119209,NA,67,"White","Married",NA,"Female","United States"
2541,2017,"Professor",119159,"Department 16",70,"White","Married",NA,"Male","United States"
2978,2017,"Chair",117739,NA,59,"White","Married",NA,"Male","United States"
31,2017,"Director",116964,"Department 16",56,"White","Married",NA,"Female","United States"
87,2017,"Professor",116722,NA,76,"White","Married",NA,"Male","United States"
1294,2017,"Chair",116545,"Department 18",49,"White","Married",NA,"Male","United States"
2111,2017,"Senior Lecturer",115603,NA,53,"White","Married",NA,"Male","United States"
1660,2017,"Associate Dean",115130,"Department 19",70,"White","Married",NA,"Female","United States"
313,2017,"Professor Of Practice",115000,"Department 20",69,"White","Married",NA,"Male","United States"
3078,2017,"Olajos-Goslow Chair",114093,NA,64,"White","Married",NA,"Male","United States"
2204,2017,"Program Director",114013,NA,57,"White","Married",NA,"Male","United States"
795,2017,"Associate Dean",113979,"Department 21",63,"American Indian/Alaska Native","Married",NA,"Female","United States"
692,2017,"Regents' Professor",113669,"Department 22",64,"White","Married",NA,"Male","United States"
2422,2017,"Assistant Director",113552,"Department 23",60,"White","Married",NA,"Female",NA
1639,2017,"Program Director",113375,"Department 24",58,"White","Single",NA,"Female","United States"
901,2017,"Associate Clinical Professor",113356,NA,53,"White","Married",NA,"Female",NA
3093,2017,"Associate Professor",112970,NA,57,"White","Single",NA,"Male","United States"
844,2017,"Professor",112520,"Department 20",59,"White","Married","No Preference Indicated","Male","United States"
2990,2017,"Associate Professor",112116,NA,72,"Asian","Married",NA,"Male","United States"
727,2017,"Network & Telecommun Mgr",111938,NA,72,"White","Single",NA,"Male","United States"
3064,2017,"Professor",111668,NA,70,"White","Married",NA,"Male","United States"
2310,2017,"Professor",111539,NA,66,"White","Married",NA,"Female","United States"
2951,2017,"Professor",111523,NA,71,"White","Married","Agnostic/Atheist","Male","United States"
2074,2017,"Professor",111280,"Department 25",70,"White","Single",NA,"Male","United States"
368,2017,"Associate Professor",111252,"Department 8",46,"White","Married",NA,"Male","United States"
2441,2017,"Associate Clinical Professor",111192,NA,66,"White","Married",NA,"Male","United States"
697,2017,"Associate Professor",111165,"Department 8",55,"White","Married",NA,"Male","United States"
2616,2017,"Special Advisor To Emsa",110939,NA,68,"White","Married",NA,"Male","United States"
397,2017,"Regents' Professor",110433,"Department 6",57,"White","Married",NA,"Male","United States"
343,2017,"Professor",110428,"Department 2",61,"White","Married",NA,"Male","United States"
2349,2017,"Professor",110129,NA,71,"White","Married",NA,"Male","United States"
473,2017,"Special Advisor To The Presdnt",110000,NA,54,"Two or More","Married",NA,"Male","United States"
635,2017,"Dean Of Students",110000,NA,66,"White","Single",NA,"Female","United States"
3231,2017,"Professor",109729,NA,78,"White","Married",NA,"Male","United States"
703,2017,"Professor",109631,NA,85,"White","Married",NA,"Male","United States"
2034,2017,"Professor",109494,NA,74,"White","Married",NA,"Female","United States"
56,2017,"Professor",109436,"Department 26",61,"Hispanic/Latino","Married",NA,"Male","United States"
2454,2017,"Regents' Professor",108876,NA,73,"White","Married",NA,"Male","United States"
3214,2017,"Professor",108810,NA,85,"White","Single",NA,"Male","United States"
846,2017,"Regents' Professor",108337,NA,72,"White","Married",NA,"Female","United States"
708,2017,"Professor",107727,NA,77,"White","Single",NA,"Male","United States"
1026,2017,"Professor",107504,NA,66,"White","Married",NA,"Male","United States"
704,2017,"Professor",107500,NA,70,"Hispanic/Latino","Divorced",NA,"Male","United States"
704,2017,"Professor",107500,NA,39,"Hispanic/Latino","Unknown",NA,"Male",NA
2648,2017,"Professor",107357,"Department 26",62,"White","Married",NA,"Male","United States"
2639,2017,"Chair",106953,"Department 19",60,"White","Single",NA,"Male","United States"
1736,2017,"Clinical Professor",106441,NA,48,"White","Married",NA,"Female","United States"
2606,2017,"Professor",106076,"Department 25",71,"White","Married",NA,"Male","United States"
738,2017,"Professor",106000,"Department 6",53,"White","Married","No Preference Indicated","Male","United States"
2413,2017,"Associate Clinical Professor",105797,NA,55,"White","Married",NA,"Female","United States"
2042,2017,"Professor",105459,NA,72,"White","Married",NA,"Male","United States"
1052,2017,"Professor",105025,NA,73,"White","Married",NA,"Female","United States"
2786,2017,"Senior Lecturer",105011,NA,45,"White","Single",NA,"Female","United States"
1934,2017,"Assistant Professor",105000,NA,65,"White","Married",NA,"Female","United States"
437,2017,"Professor",105000,"Department 11",66,"White","Married",NA,"Female","United States"
2401,2017,"Professor",104951,NA,71,"American Indian/Alaska Native","Married",NA,"Female","United States"
1151,2017,"Professor",104613,"Department 27",68,"White","Married",NA,"Female","United States"
327,2017,"Martin-Springer Inst Endo Ch/D",104590,"Department 17",65,"Not Specified","Married",NA,"Male","United States"
2869,2017,"Director",104197,NA,65,"Asian","Married",NA,"Female","United States"
1813,2017,"Professor",104107,"Department 27",76,"White","Divorced",NA,"Male","United States"
1813,2017,"Professor",104107,NA,44,"Hispanic/Latino","Unknown","Catholic, Roman","Male","United States"
1314,2017,"Assistant Clinical Professor",104052,NA,62,"Native Hawaiian/Oth Pac Island","Married",NA,"Female","United States"
2296,2017,"Professor",103705,NA,66,"White","Single",NA,"Female","United States"
1369,2017,"Senior Lecturer",103363,NA,57,"White","Single","No Preference Indicated","Female","United States"
3230,2017,"Professor",103087,NA,84,"American Indian/Alaska Native","Married",NA,"Male","United States"
2459,2017,"Professor",103071,NA,63,"White","Married",NA,"Male","United States"
1770,2017,"Professor",102952,NA,63,"White","Married",NA,"Female","United States"
2956,2017,"Professor",102698,NA,70,"White","Married",NA,"Male","United States"
2964,2017,"Professor",102627,"Department 27",58,"White","Married",NA,"Male","United States"
1470,2017,"Professor",102409,NA,63,"Not Specified","Single",NA,"Male","United States"
2600,2017,"Professor",102296,NA,79,"Hispanic/Latino","Married",NA,"Male","United States"
2972,2017,"Professor",102253,NA,69,"White","Married",NA,"Male","United States"
832,2017,"Professor",102081,NA,81,"White","Married",NA,"Male","United States"
465,2017,"Professor",102058,"Department 6",64,"White","Married",NA,"Female","United States"
2432,2017,"Chair",101552,NA,67,"White","Married",NA,"Female","United States"
482,2017,"Associate Clinical Professor",101528,NA,63,"White","Married",NA,"Male","United States"
2611,2017,"Professor",101476,NA,75,"White","Single",NA,"Male","United States"
2419,2017,"Professor",101423,NA,72,"White","Married",NA,"Female","United States"
2463,2017,"Professor",101367,"Department 16",64,"White","Married",NA,"Male","United States"
1918,2017,"Assistant Clinical Professor",101000,NA,53,"White","Single",NA,"Female","United States"
752,2017,"Assistant Clinical Professor",101000,NA,62,"Two or More","Single","Catholic, Roman","Female","United States"
3066,2017,"Professor",100798,NA,74,"White","Married",NA,"Male","United States"
2452,2017,"Professor",100434,"Department 28",80,"White","Married",NA,"Female","United States"
2092,2017,"Professor",100314,NA,71,"Not Specified","Married",NA,"Female","United States"
3192,2017,"Professor",100267,"Department 29",82,"White","Married",NA,"Male","United States"
1061,2017,"Professor",100141,"Department 6",69,"White","Married",NA,"Male","United States"
1449,2017,"Professor",100100,NA,75,"White","Married",NA,"Male","United States"
1139,2017,"Assistant Professor",1e+05,NA,49,"White","Married",NA,"Female","United States"
3213,2017,"Professor",99889,NA,76,"White","Separated",NA,"Male","United States"
1478,2017,"Professor",99801,"Department 30",80,"White","Married",NA,"Male","United States"
360,2017,"Professor",99792,NA,63,"White","Married",NA,"Male","United States"
3075,2017,"Professor",99788,NA,65,"White","Married",NA,"Male","United States"
3098,2017,"Professor",99717,NA,72,"White","Single",NA,"Male","United States"
3208,2017,"Professor",99553,NA,73,"American Indian/Alaska Native","Married",NA,"Male","United States"
2878,2017,"Professor",99455,NA,66,"American Indian/Alaska Native","Married",NA,"Female","United States"
396,2017,"Professor",99297,NA,73,"White","Married",NA,"Male","United States"
824,2017,"Assistant Clinical Professor",99000,NA,67,"White","Widowed",NA,"Female","United States"
774,2017,"Professor",98971,NA,80,"White","Married",NA,"Male","United States"
1894,2017,"Professor",98971,NA,72,"American Indian/Alaska Native","Divorced",NA,"Female","United States"
1598,2017,"Professor",98930,"Department 30",71,"White","Married",NA,"Female","United States"
929,2017,"Lecturer",98920,"Department 1",55,"White","Married","Protestant (Unspecified)","Female","United States"
1297,2017,"Professor",98783,NA,77,"White","Married","No Preference Indicated","Male","United States"
1997,2017,"Professor",98692,"Department 11",66,"White","Married",NA,"Female","United States"
2040,2017,"Professor",98560,"Department 29",72,"White","Married",NA,"Male","United States"
3191,2017,"Professor",98537,NA,76,"White","Married",NA,"Male","United States"
2307,2017,"Professor",98207,NA,68,"White","Married",NA,"Female","United States"
243,2017,"Professor",98086,NA,76,"Black/African American","Married",NA,"Male","United States"
729,2017,"Associate Professor",98044,NA,74,"White","Married",NA,"Male","United States"
730,2017,"Professor",97957,NA,72,"White","Married","No Preference Indicated","Male","United States"
1106,2017,"Professor",97587,NA,73,"White","Married",NA,"Male","United States"
1008,2017,"Professor",97584,"Department 6",68,"Hispanic/Latino","Married",NA,"Male","United States"
1236,2017,"Professor",97571,"Department 22",66,"White","Married",NA,"Male","United States"
1262,2017,"Professor",97571,"Department 2",63,"American Indian/Alaska Native","Married",NA,"Female","United States"
197,2017,"Professor",97567,NA,76,"White","Single",NA,"Female","United States"
486,2017,"Professor",97557,"Department 31",71,"White","Married",NA,"Male","United States"
2084,2017,"Professor",97557,"Department 32",72,"White","Single",NA,"Female","United States"
3188,2017,"Associate Professor",97159,NA,67,"White","Married","No Preference Indicated","Male","United States"
2068,2017,"Professor",97139,NA,73,"White","Single",NA,"Female","United States"
16,2017,"Professor",97072,"Department 22",59,"White","Married",NA,"Male","United States"
1245,2017,"Director",97000,"Department 33",56,"White","Married","No Preference Indicated","Male","United States"
1062,2017,"Professor",96759,"Department 34",67,"White","Married",NA,"Male","United States"
3238,2017,"Associate Professor",96643,NA,52,"Asian","Married",NA,"Female","United States"
40,2017,"Professor",96544,NA,69,"Asian","Married",NA,"Male","United States"
2219,2017,"Chair",96515,"Department 32",75,"White","Married",NA,"Male","United States"
1566,2017,"Associate Professor",96478,"Department 35",44,"White","Single",NA,"Female","United States"
3051,2017,"Associate Professor",96221,"Department 16",69,"White","Married","No Preference Indicated","Male","United States"
769,2017,"Professor",96081,"Department 36",66,"Hispanic/Latino","Married","No Preference Indicated","Female","United States"
1280,2017,"Professor",96079,"Department 37",62,"White","Single",NA,"Male","United States"
2656,2017,"Professor",95921,NA,83,"White","Married",NA,"Male","United States"
2393,2017,"Professor",95699,NA,72,"White","Married",NA,"Male","United States"
463,2017,"Professor",95699,NA,68,"Hispanic/Latino","Single",NA,"Female","United States"
1962,2017,"Professor",95607,"Department 38",55,"White","Married",NA,"Female","United States"
2246,2017,"Professor",95221,"Department 27",56,"White","Married",NA,"Female","United States"
1020,2017,"Professor",95209,NA,85,"White","Married",NA,"Male","United States"
1938,2017,"Associate Clinical Professor",95066,NA,65,"White","Married",NA,"Female","United States"
3162,2017,"Assistant Professor",95000,"Department 20",44,"White","Married",NA,"Male","United States"
3091,2017,"Professor",95000,NA,51,"White","Married",NA,"Male","United States"
2179,2017,"Executive Director",95000,NA,47,"White","Married",NA,"Female","United States"
2399,2017,"Assistant Clinical Professor",95000,NA,40,"White","Married",NA,"Female","United States"
131,2017,"Assistant Clinical Professor",95000,NA,54,"White","Married",NA,"Female","United States"
104,2017,"Professor",94699,NA,64,"White","Married",NA,"Female","United States"
2988,2017,"Professor",94581,"Department 27",55,"White","Single",NA,"Male","United States"
2224,2017,"Professor",94510,NA,76,"Hispanic/Latino","Married",NA,"Male","United States"
1981,2017,"Director, Emergency Management",94500,NA,48,"White","Married",NA,"Male","United States"
3110,2017,"Senior Lecturer",94382,"Department 8",52,"White","Divorced","No Preference Indicated","Male","United States"
2997,2017,"Professor",94341,NA,69,"Asian","Married",NA,"Female","United States"
750,2017,"Professor",94310,NA,71,"White","Married",NA,"Female","United States"
3189,2017,"Clinical Professor",94248,NA,78,"White","Married",NA,"Male","United States"
2096,2017,"Professor",94181,NA,72,"White","Married",NA,"Female","United States"
1272,2017,"Professor",94116,"Department 25",63,"White","Married",NA,"Female",NA
1288,2017,"Assistant Clinical Professor",94000,NA,44,"White","Single",NA,"Male","United States"
2643,2017,"Professor",93851,NA,75,"White","Single",NA,"Male","United States"
420,2017,"Professor",93843,NA,69,"White","Married",NA,"Male","United States"
1636,2017,"Professor",93798,NA,74,"White","Married",NA,"Female","United States"
1760,2017,"Professor",93600,NA,72,"White","Divorced",NA,"Female","United States"
1714,2017,"App Sys Anlyst Programmer, Ld",93359,NA,55,"White","Married",NA,"Male","United States"
2490,2017,"Professor",93096,"Department 11",61,"White","Married",NA,"Male","United States"
551,2017,"Chair",93021,"Department 17",62,"White","Married",NA,"Male","United States"
459,2017,"Professor",93008,"Department 6",63,"White","Married",NA,"Female","United States"
1809,2017,"Instructor",93000,NA,54,"Asian","Divorced",NA,"Female","United States"
1060,2017,"Director",92609,NA,63,"White","Married",NA,"Male","United States"
1446,2017,"Associate Professor",92525,"Department 39",48,"White","Married",NA,"Male","United States"
2992,2017,"Lecturer",92430,NA,76,"White","Single",NA,"Female","United States"
2187,2017,"Professor",92275,"Department 40",60,"White","Married",NA,"Male","United States"
248,2017,"Director",92221,NA,75,"Hispanic/Latino","Married",NA,"Male","United States"
2567,2017,"Professor",92080,"Department 31",63,"White","Married",NA,"Female","United States"
1609,2017,"Professor",92056,NA,71,"White","Married",NA,"Female","United States"
357,2017,"Director",92048,NA,67,"White","Married",NA,"Female","United States"
2609,2017,"Professor",92038,"Department 25",59,"White","Single",NA,"Male","United States"
2502,2017,"Associate Professor",92001,NA,68,"White","Married",NA,"Male","United States"
1912,2017,"Lecturer",91863,NA,51,"White","Married","No Preference Indicated","Female","United States"
3131,2017,"Professor",91854,NA,71,"White","Divorced","No Preference Indicated","Female","United States"
637,2017,"Assistant Vice Provost",91845,"Department 28",55,"White","Married",NA,"Female","United States"
1361,2017,"Senior Lecturer",91423,NA,65,"White","Married",NA,"Female","United States"
1524,2017,"Professor",91364,NA,74,"White","Married",NA,"Female","United States"
1256,2017,"Professor",91343,"Department 6",63,"White","Married",NA,"Female","United States"
69,2017,"Professor",91343,"Department 6",57,"White","Married",NA,"Female","United States"
1716,2017,"Assistant Comptroller",91237,NA,55,"White","Married",NA,"Male","United States"
2760,2017,"Professor",90968,"Department 40",63,"Asian","Married",NA,"Male","United States"
509,2017,"Professor",90942,NA,68,"White","Married",NA,"Male","United States"
1029,2017,"Professor",90633,NA,72,"White","Married",NA,"Female","United States"
671,2017,"Professor",90512,NA,60,"White","Married",NA,"Male","United States"
1387,2017,"Assistant Clinical Professor",90399,NA,77,"White","Married",NA,"Male","United States"
505,2017,"Professor",90339,"Department 30",61,"Not Specified","Unknown",NA,"Male","United States"
1825,2017,"Professor",90194,"Department 41",56,"White","Married",NA,"Female","United States"
851,2017,"Professor",90067,"Department 42",70,"White","Married",NA,"Male","United States"
2005,2017,"Director, Emsa Assessment",90052,"Department 43",54,"White","Married",NA,"Female","United States"
3216,2017,"Professor",90044,NA,72,"White","Married",NA,"Male","United States"
636,2017,"Director, Public Affairs",90000,NA,76,"White","Married","No Preference Indicated","Female","United States"
2506,2017,"Director",90000,NA,67,"Asian","Married",NA,"Male","United States"
3046,2017,"Professor",89796,NA,67,"White","Married",NA,"Male","United States"
1943,2017,"Professor",89742,NA,77,"White","Married",NA,"Female","United States"
933,2017,"Director",89568,"Department 44",45,"White","Married",NA,"Male","United States"
2279,2017,"Professor",89286,"Department 41",55,"Hispanic/Latino","Married","No Preference Indicated","Female","United States"
3271,2017,"Professor",88990,"Department 37",58,"Not Specified","Married",NA,"Female","United States"
1011,2017,"Professor",88962,"Department 32",69,"White","Married","No Preference Indicated","Female","United States"
2892,2017,"Professor",88887,"Department 41",61,"White","Single",NA,"Female","United States"
2277,2017,"Director",88500,"Department 45",49,"Two or More","Single","No Preference Indicated","Female","United States"
224,2017,"Professor",88304,NA,66,"White","Single",NA,"Female","United States"
218,2017,"Professor",88159,NA,61,"White","Single",NA,"Female","United States"
1066,2017,"Professor",88099,"Department 6",65,"White","Single",NA,"Male","United States"
3019,2017,"Professor",88099,NA,66,"White","Married",NA,"Male","United States"
78,2017,"Professor",88099,NA,69,"White","Married",NA,"Female","United States"
856,2017,"Professor",88099,"Department 6",58,"White","Married",NA,"Male","United States"
3053,2017,"Professor",88074,NA,65,"White","Single",NA,"Male","United States"
2597,2017,"Executive Director",87855,NA,79,"White","Married",NA,"Male","United States"
1063,2017,"Associate Professor",87634,"Department 37",70,"White","Single",NA,"Male","United States"
3097,2017,"Professor",87554,NA,74,"Two or More","Married",NA,"Male","United States"
3097,2017,"Professor",87554,NA,62,"Black/African American","Married",NA,"Male","United States"
3241,2017,"Professor",87481,NA,56,"Asian","Married",NA,"Female","United States"
332,2017,"Assistant Clinical Professor",87305,NA,44,"White","Married",NA,"Male","United States"
1500,2017,"Professor",87293,"Department 42",63,"White","Married",NA,"Male","United States"
854,2017,"Support Systems Analyst, Pr",87258,NA,69,"White","Married","No Preference Indicated","Male","United States"
2959,2017,"Director",86838,"Department 45",48,"White","Single","No Preference Indicated","Female","United States"
2311,2017,"Professor",86520,"Department 46",59,"White","Married",NA,"Male","United States"
755,2017,"Program Director",86329,NA,60,"White","Single",NA,"Female","United States"
2820,2017,"Professor",86239,"Department 40",59,"White","Married",NA,"Male","United States"
2849,2017,"Assistant Clinical Professor",86229,NA,71,"Hispanic/Latino","Married",NA,"Female","United States"
2031,2017,"Professor",86108,NA,65,"White","Married",NA,"Female","United States"
739,2017,"Lecturer",86000,NA,44,"White","Married",NA,"Male","United States"
1836,2017,"Professor",85980,NA,64,"Hispanic/Latino","Married","Catholic, Roman","Female","United States"
1515,2017,"Associate Professor",85912,"Department 16",51,"White","Married",NA,"Male","United States"
1787,2017,"Professor",85469,"Department 25",57,"White","Married",NA,"Male","United States"
2574,2017,"Professor",85367,NA,67,"White","Married",NA,"Female","United States"
2971,2017,"Professor",85367,NA,68,"White","Married",NA,"Male","United States"
1994,2017,"Lecturer",85351,"Department 8",61,"White","Divorced","No Preference Indicated","Female","United States"
2469,2017,"Er/Rr Cowden Prof, Regents Prf",85302,"Department 6",69,"White","Married",NA,"Male","United States"
2053,2017,"Chair",85229,NA,64,"White","Divorced",NA,"Male","United States"
603,2017,"Associate Professor",84917,"Department 15",59,"International","Married",NA,"Male","United States"
1141,2017,"Associate Professor",84771,"Department 15",44,"White","Married",NA,"Female","United States"
3222,2017,"Professor",84198,"Department 19",63,"White","Married",NA,"Male","United States"
1269,2017,"Professor",83429,"Department 29",54,"White","Married",NA,"Female","United States"
853,2017,"Associate Professor",83185,"Department 16",48,"White","Single",NA,"Male","United States"
1465,2017,"Professor",83171,"Department 41",78,"White","Divorced","No Preference Indicated","Male","United States"
1252,2017,"Professor",83171,NA,66,"White","Married","No Preference Indicated","Female","United States"
1166,2017,"Assistant Clinical Professor",83085,NA,51,"White","Married",NA,"Female","United States"
1003,2017,"Assistant Professor",83000,NA,41,"Not Specified","Married",NA,"Female","Iran (Islamic Republic Of)"
775,2017,"Senior Lecturer",82955,NA,70,"White","Married",NA,"Male","United States"
2736,2017,"Associate Professor",82630,NA,72,"White","Married",NA,"Female","United States"
3229,2017,"Systems Administrator, Senior",82509,NA,68,"White","Married",NA,"Male","United States"
3121,2017,"Director",82400,NA,53,"White","Married","No Preference Indicated","Female","United States"
399,2017,"Professor",82086,"Department 47",73,"White","Divorced",NA,"Male","United States"
1241,2017,"Professor",81818,"Department 46",68,"White","Married",NA,"Male","United States"
2156,2017,"Associate Professor",81359,NA,55,"White","Single",NA,"Female","United States"
818,2017,"Professor",81342,"Department 48",59,"White","Single",NA,"Female","United States"
2209,2017,"Police Sergeant",81119,NA,41,"White","Married","No Preference Indicated","Male","United States"
3158,2017,"Assistant Professor",81000,"Department 20",42,"Asian","Married",NA,"Male","India"
841,2017,"Director",81000,"Department 49",40,"White","Married","Protestant (Unspecified)","Male","United States"
2256,2017,"Director",80968,"Department 39",59,"Two or More","Married",NA,"Female","United States"
1948,2017,"Professor",80870,"Department 26",55,"Hispanic/Latino","Married",NA,"Male","United States"
1308,2017,"Professor",80428,NA,71,"White","Married","No Preference Indicated","Female","United States"
2300,2017,"Professor",80360,"Department 41",59,"Hispanic/Latino","Single",NA,"Female","United States"
3103,2017,"Associate Professor",80335,NA,67,"White","Married",NA,"Female","United States"
403,2017,"Assoc Professor Of Practice",80068,NA,57,"White","Married","No Preference Indicated","Male","United States"
1023,2017,"Professor",80060,"Department 50",61,"Black/African American","Married",NA,"Male","United States"
3045,2017,"Assistant Professor",80000,"Department 20",50,"Asian","Married",NA,"Female","United States"
1796,2017,"Assistant Professor",80000,"Department 20",44,"White","Married","No Preference Indicated","Male","United States"
2911,2017,"Assistant Professor",80000,NA,45,"Asian","Married",NA,"Female","Korea, Republic of"
3186,2017,"Asst Professor Of Practice",80000,NA,53,"White","Married",NA,"Male","United States"
3090,2017,"Assoc Professor Of Practice",80000,"Department 15",52,"White","Married",NA,"Male","United States"
2843,2017,"Director",80000,NA,47,"Two or More","Divorced","Protestant (Unspecified)","Female","United States"
834,2017,"Associate Professor",80000,NA,62,"White","Married",NA,"Male","United States"
12,2017,"Assistant Professor",80000,NA,49,"White","Married",NA,"Male","United States"
1530,2017,"Associate Professor",79724,"Department 51",71,"White","Married",NA,"Female","United States"
2081,2017,"Associate Professor",79626,NA,70,"White","Married",NA,"Female","United States"
1910,2017,"Systems Administrator-Senior",79551,"Department 52",56,"White","Married","Catholic, Roman","Female","United States"
2664,2017,"Assistant Professor",79493,"Department 16",48,"White","Married",NA,"Male","United States"
1865,2017,"Professor",79490,"Department 40",54,"White","Married",NA,"Female","United States"
1231,2017,"Professor",79425,"Department 47",65,"Not Specified","Single",NA,"Male","United States"
3010,2017,"Associate Professor",78952,NA,65,"White","Married",NA,"Female","United States"
1526,2017,"Professor",78829,"Department 42",58,"Hispanic/Latino","Single",NA,"Female","United States"
323,2017,"Associate Professor",78818,NA,72,"White","Widowed",NA,"Female","United States"
741,2017,"Professor",78752,NA,88,"White","Married",NA,"Male","United States"
741,2017,"Professor",78752,"Department 50",66,"White","Married","No Preference Indicated","Male","United States"
